ticker,name,industry,market_cap,market_cap_num,symbol_url
A,"Agilent Technologies, Inc.",Diagnostics & Research,41.49B,41490000000,/stocks/a/
AA,Alcoa Corporation,Aluminum,9.53B,9530000000,/stocks/aa/
AACB,Artius II Acquisition Inc.,Shell Companies,300.83M,300830000,/stocks/aacb/
AACG,ATA Creativity Global,Education & Training Services,39.06M,39060000,/stocks/aacg/
AAL,American Airlines Group Inc.,Airlines,8.67B,8670000000,/stocks/aal/
AAM,AA Mission Acquisition Corp.,Shell Companies,466.12M,466120000,/stocks/aam/
AAME,Atlantic American Corporation,Insurance - Life,57.72M,57720000,/stocks/aame/
AAMI,Acadian Asset Management Inc.,Asset Management,1.72B,1720000000,/stocks/aami/
AAOI,"Applied Optoelectronics, Inc.",Communication Equipment,2.22B,2220000000,/stocks/aaoi/
AAON,"AAON, Inc.",Building Products & Equipment,8.02B,8020000000,/stocks/aaon/
AAP,"Advance Auto Parts, Inc.",Auto Parts,2.83B,2830000000,/stocks/aap/
AAPG,Ascentage Pharma Group International,Biotechnology,3.15B,3150000000,/stocks/aapg/
AAPL,Apple Inc.,Consumer Electronics,4.00T,4000000000000,/stocks/aapl/
AARD,"Aardvark Therapeutics, Inc.",Biotechnology,231.94M,231940000,/stocks/aard/
AAT,"American Assets Trust, Inc.",REIT - Diversified,1.48B,1480000000,/stocks/aat/
AAUC,Allied Gold Corporation,Gold,1.78B,1780000000,/stocks/aauc/
AB,AllianceBernstein Holding L.P.,Asset Management,3.66B,3660000000,/stocks/ab/
ABAT,American Battery Technology Company,Waste Management,605.58M,605580000,/stocks/abat/
ABBV,AbbVie Inc.,Drug Manufacturers - General,385.18B,385180000000,/stocks/abbv/
ABCB,Ameris Bancorp,Banks - Regional,4.89B,4890000000,/stocks/abcb/
ABCL,AbCellera Biologics Inc.,Biotechnology,1.66B,1660000000,/stocks/abcl/
ABEO,Abeona Therapeutics Inc.,Biotechnology,246.65M,246650000,/stocks/abeo/
ABEV,Ambev S.A.,Beverages - Brewers,36.85B,36850000000,/stocks/abev/
ABG,"Asbury Automotive Group, Inc.",Auto & Truck Dealerships,4.56B,4560000000,/stocks/abg/
ABL,"Abacus Global Management, Inc.",Insurance - Life,484.34M,484340000,/stocks/abl/
ABLV,Able View Global Inc.,Advertising Agencies,45.44M,45440000,/stocks/ablv/
ABM,ABM Industries Incorporated,Specialty Business Services,2.63B,2630000000,/stocks/abm/
ABNB,"Airbnb, Inc.",Travel Services,77.47B,77470000000,/stocks/abnb/
ABOS,"Acumen Pharmaceuticals, Inc.",Biotechnology,133.87M,133870000,/stocks/abos/
ABP,"Abpro Holdings, Inc.",Biotechnology,14.61M,14610000,/stocks/abp/
ABR,"Arbor Realty Trust, Inc.",REIT - Mortgage,2.14B,2140000000,/stocks/abr/
ABSI,Absci Corporation,Biotechnology,639.96M,639960000,/stocks/absi/
ABT,Abbott Laboratories,Medical Devices,214.96B,214960000000,/stocks/abt/
ABTC,American Bitcoin Corp.,Financial - Capital Markets,4.62B,4620000000,/stocks/abtc/
ABTS,Abits Group Inc.,Capital Markets,16.45M,16450000,/stocks/abts/
ABUS,Arbutus Biopharma Corporation,Biotechnology,906.73M,906730000,/stocks/abus/
ABVC,"ABVC BioPharma, Inc.",Biotechnology,63.87M,63870000,/stocks/abvc/
ABVE,Above Food Ingredients Inc.,Packaged Foods,184.29M,184290000,/stocks/abve/
ABVX,ABIVAX Société Anonyme,Biotechnology,7.92B,7920000000,/stocks/abvx/
ACA,"Arcosa, Inc.",Engineering & Construction,5.00B,5000000000,/stocks/aca/
ACAD,ACADIA Pharmaceuticals Inc.,Biotechnology,3.83B,3830000000,/stocks/acad/
ACB,Aurora Cannabis Inc.,Drug Manufacturers - Specialty & Generic,280.38M,280380000,/stocks/acb/
ACCL,Acco Group Holdings Limited,Specialty Business Services,56.15M,56150000,/stocks/accl/
ACCO,ACCO Brands Corporation,Business Equipment & Supplies,338.91M,338910000,/stocks/acco/
ACCS,ACCESS Newswire Inc.,Advertising Agencies,36.78M,36780000,/stocks/accs/
ACDC,ProFrac Holding Corp.,Oil & Gas Equipment & Services,989.37M,989370000,/stocks/acdc/
ACEL,"Accel Entertainment, Inc.",Gambling,858.95M,858950000,/stocks/acel/
ACET,"Adicet Bio, Inc.",Biotechnology,121.28M,121280000,/stocks/acet/
ACFN,"Acorn Energy, Inc.",Scientific & Technical Instruments,61.86M,61860000,/stocks/acfn/
ACGL,Arch Capital Group Ltd.,Insurance - Diversified,31.57B,31570000000,/stocks/acgl/
ACHC,"Acadia Healthcare Company, Inc.",Medical Care Facilities,1.99B,1990000000,/stocks/achc/
ACHR,Archer Aviation Inc.,Aerospace & Defense,7.24B,7240000000,/stocks/achr/
ACHV,"Achieve Life Sciences, Inc.",Biotechnology,261.66M,261660000,/stocks/achv/
ACI,"Albertsons Companies, Inc.",Grocery Stores,9.72B,9720000000,/stocks/aci/
ACIC,American Coastal Insurance Corporation,Insurance - Property & Casualty,577.38M,577380000,/stocks/acic/
ACIU,AC Immune SA,Biotechnology,334.43M,334430000,/stocks/aciu/
ACIW,"ACI Worldwide, Inc.",Software - Infrastructure,4.92B,4920000000,/stocks/aciw/
ACLS,"Axcelis Technologies, Inc.",Semiconductors,2.47B,2470000000,/stocks/acls/
ACLX,"Arcellx, Inc.",Biotechnology,5.01B,5010000000,/stocks/aclx/
ACM,AECOM,Engineering & Construction,17.79B,17790000000,/stocks/acm/
ACMR,"ACM Research, Inc.",Semiconductor Equipment & Materials,2.66B,2660000000,/stocks/acmr/
ACN,Accenture plc,Information Technology Services,155.10B,155100000000,/stocks/acn/
ACNB,ACNB Corporation,Banks - Regional,470.91M,470910000,/stocks/acnb/
ACNT,Ascent Industries Co.,Steel,113.91M,113910000,/stocks/acnt/
ACOG,Alpha Cognition Inc.,Biotechnology,129.38M,129380000,/stocks/acog/
ACON,"Aclarion, Inc.",Health Information Services,5.02M,5020000,/stocks/acon/
ACR,ACRES Commercial Realty Corp.,REIT - Mortgage,149.05M,149050000,/stocks/acr/
ACRE,Ares Commercial Real Estate Corporation,REIT - Mortgage,244.66M,244660000,/stocks/acre/
ACRS,"Aclaris Therapeutics, Inc.",Biotechnology,273.00M,273000000,/stocks/acrs/
ACRV,"Acrivon Therapeutics, Inc.",Biotechnology,62.60M,62600000,/stocks/acrv/
ACT,"Enact Holdings, Inc.",Insurance - Specialty,5.27B,5270000000,/stocks/act/
ACTG,Acacia Research Corporation,Business Equipment & Supplies,334.66M,334660000,/stocks/actg/
ACTU,"Actuate Therapeutics, Inc.",Biotechnology,152.66M,152660000,/stocks/actu/
ACU,Acme United Corporation,Household & Personal Products,144.41M,144410000,/stocks/acu/
ACVA,ACV Auctions Inc.,Auto & Truck Dealerships,1.56B,1560000000,/stocks/acva/
ACXP,"Acurx Pharmaceuticals, Inc.",Biotechnology,7.66M,7660000,/stocks/acxp/
AD,"Array Digital Infrastructure, Inc.",Telecom Services,4.24B,4240000000,/stocks/ad/
ADAG,Adagene Inc.,Biotechnology,83.89M,83890000,/stocks/adag/
ADAM,"Adamas Trust, Inc.",REIT - Mortgage,602.35M,602350000,/stocks/adam/
ADBE,Adobe Inc.,Software - Application,142.45B,142450000000,/stocks/adbe/
ADC,Agree Realty Corporation,REIT - Retail,8.40B,8400000000,/stocks/adc/
